center,left,right,steering,throttle,brake,speed
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_448.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_448.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_448.jpg,0,0,0,4.12298
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_558.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_558.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_558.jpg,0,0,0,4.073381
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_666.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_666.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_666.jpg,0,0,0,4.032506
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_771.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_771.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_771.jpg,0,0,0,3.983997
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_877.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_877.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_877.jpg,0,0,0,3.944017
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_06_976.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_06_976.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_06_976.jpg,0,0,0,3.904441
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_087.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_087.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_087.jpg,0,0.3313931,0,4.256173
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_202.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_202.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_202.jpg,0,0.6722651,0,5.165761
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_313.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_313.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_313.jpg,0,1,0,6.533461
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_413.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_413.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_413.jpg,0,1,0,7.674664
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_517.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_517.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_517.jpg,0,1,0,8.804796
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_622.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_622.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_622.jpg,0,1,0,9.923881
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_732.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_732.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_732.jpg,0,1,0,11.25225
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_853.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_853.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_853.jpg,0,1,0,12.54585
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_07_977.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_07_977.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_07_977.jpg,0,1,0,13.72562
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_079.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_079.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_079.jpg,0,1,0,14.5851
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_168.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_168.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_168.jpg,0,1,0,15.89327
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_272.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_272.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_272.jpg,0,1,0,17.1441
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_375.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_375.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_375.jpg,0,1,0,17.9829
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_487.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_487.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_487.jpg,0,0.6638848,0,18.8585
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_599.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_599.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_599.jpg,0,0.3312799,0,19.16338
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_706.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_706.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_706.jpg,0,0.007077076,0,18.69895
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_822.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_822.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_822.jpg,0.09677419,0,0,18.42554
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_08_917.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_08_917.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_08_917.jpg,0.143695,0,0,18.66479
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_09_030.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_09_030.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_09_030.jpg,0.143695,0,0,17.98318
C:\Users\zzyan\Desktop\Data_reverse\IMG\center_2017_04_21_22_41_09_140.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\left_2017_04_21_22_41_09_140.jpg,C:\Users\zzyan\Desktop\Data_reverse\IMG\right_2017_04_21_22_41_09_140.jpg,0.09384164,0,0,17.75866
