center,left,right,steering,throttle,brake,speed
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_184.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_184.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_184.jpg,0,0,0,2.08E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_254.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_254.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_254.jpg,0,0,0,7.86E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_324.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_324.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_324.jpg,0,0,0,1.43E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_401.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_401.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_401.jpg,0,0,0,1.70E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_473.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_473.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_473.jpg,0,0,0,1.14E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_548.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_548.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_548.jpg,0,0,0,1.11E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_619.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_619.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_619.jpg,0,0,0,2.14E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_690.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_690.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_690.jpg,0,0,0,3.93E-06
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_762.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_762.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_762.jpg,0,0,0,1.06E-05
C:\Users\zzyan\Desktop\Data_0417\IMG\center_2017_04_17_22_08_17_835.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\left_2017_04_17_22_08_17_835.jpg,C:\Users\zzyan\Desktop\Data_0417\IMG\right_2017_04_17_22_08_17_835.jpg,0,0,0,1.36E-05
